origin,original_dest,recommended_dest,time_slot,incentive_amount,period_start_min,expected_flow,surplus_at_dest,deficit_at_redir,detour_m
9,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
0,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
1,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
2,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
3,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
4,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
5,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
6,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
7,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
8,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
9,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
0,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
1,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
2,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
3,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
4,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
5,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
6,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
7,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
8,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
9,5,1,12,1.2,180.0,0.09,7.94,2.08,400.0
0,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
1,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
2,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
3,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
4,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
5,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
6,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
7,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
8,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
9,6,2,12,1.2,180.0,0.09,7.94,2.08,400.0
0,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
1,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
2,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
3,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
4,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
5,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
6,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
7,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
8,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
9,7,2,12,1.5,180.0,0.09,22.0,2.08,565.7
0,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
1,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
2,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
3,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
4,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
5,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
6,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
7,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
8,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
9,8,0,12,1.5,180.0,0.09,22.0,2.08,800.0
0,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
1,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
2,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
3,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
4,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
5,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
6,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
7,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
8,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
9,9,1,12,1.5,180.0,0.09,22.0,2.08,800.0
0,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
1,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
2,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
3,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
4,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
5,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
6,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
7,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
8,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
9,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
0,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
1,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
2,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
3,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
4,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
5,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
6,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
7,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
8,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
9,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
0,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
1,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
2,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
3,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
4,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
5,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
6,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
7,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
8,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
9,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
0,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
1,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
2,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
3,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
4,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
5,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
6,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
7,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
8,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
9,6,2,13,1.2,195.0,0.09,7.95,1.83,400.0
0,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
1,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
2,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
3,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
4,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
5,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
6,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
7,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
8,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
9,7,2,13,1.5,195.0,0.09,21.73,1.83,565.7
0,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
1,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
2,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
3,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
4,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
5,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
6,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
7,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
8,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
9,8,0,13,1.5,195.0,0.09,21.73,1.83,800.0
0,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
1,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
2,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
3,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
4,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
5,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
6,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
7,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
8,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
9,9,1,13,1.5,195.0,0.09,21.73,1.83,800.0
0,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
1,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
2,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
3,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
4,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
5,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
6,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
7,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
8,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
9,0,1,14,1.2,210.0,0.09,0.28,1.5,400.0
0,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
1,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
2,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
3,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
4,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
5,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
6,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
7,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
8,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
9,1,0,14,1.2,210.0,0.09,0.28,1.5,400.0
0,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
1,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
2,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
3,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
4,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
5,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
6,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
7,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
8,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
9,2,1,14,1.2,210.0,0.09,0.28,1.5,400.0
0,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
1,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
2,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
3,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
4,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
5,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
6,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
7,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
8,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
9,3,2,14,1.2,210.0,0.09,7.98,1.5,400.0
0,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
1,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
2,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
3,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
4,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
5,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
6,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
7,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
8,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
9,4,0,14,1.2,210.0,0.09,7.98,1.5,400.0
0,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
1,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
2,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
3,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
4,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
5,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
6,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
7,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
8,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
9,5,1,14,1.2,210.0,0.09,7.98,1.5,400.0
0,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
1,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
2,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
3,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
4,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
5,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
6,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
7,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
8,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
9,6,2,14,1.2,210.0,0.09,7.98,1.5,400.0
0,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
1,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
2,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
3,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
4,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
5,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
6,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
7,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
8,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
9,7,2,14,1.5,210.0,0.09,21.09,1.5,565.7
0,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
1,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
2,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
3,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
4,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
5,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
6,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
7,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
8,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
9,8,0,14,1.5,210.0,0.09,21.09,1.5,800.0
0,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
1,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
2,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
3,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
4,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
5,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
6,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
7,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
8,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
9,9,1,14,1.5,210.0,0.09,21.09,1.5,800.0
0,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
1,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
2,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
3,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
4,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
5,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
6,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
7,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
8,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
9,0,1,15,1.2,225.0,0.09,0.89,1.0,400.0
0,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
1,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
2,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
3,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
4,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
5,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
6,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
7,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
8,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
9,1,0,15,1.2,225.0,0.09,0.89,1.0,400.0
0,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
1,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
2,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
3,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
4,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
5,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
6,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
7,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
8,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
9,2,1,15,1.2,225.0,0.09,0.89,1.0,400.0
0,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
1,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
2,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
3,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
4,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
5,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
6,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
7,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
8,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
9,3,2,15,1.2,225.0,0.09,8.03,1.0,400.0
0,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
1,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
2,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
3,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
4,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
5,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
6,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
7,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
8,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
9,4,0,15,1.2,225.0,0.09,8.03,1.0,400.0
0,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
1,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
2,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
3,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
4,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
5,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
6,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
7,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
8,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
9,5,1,15,1.2,225.0,0.09,8.03,1.0,400.0
0,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
1,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
2,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
3,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
4,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
5,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
6,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
7,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
8,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
9,6,2,15,1.2,225.0,0.09,8.03,1.0,400.0
0,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
1,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
2,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
3,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
4,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
5,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
6,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
7,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
8,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
9,7,2,15,1.5,225.0,0.09,19.91,1.0,565.7
0,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
1,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
2,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
3,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
4,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
5,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
6,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
7,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
8,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
9,8,0,15,1.5,225.0,0.09,19.91,1.0,800.0
0,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
1,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
2,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
3,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
4,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
5,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
6,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
7,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
8,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
9,9,1,15,1.5,225.0,0.09,19.91,1.0,800.0
